drafted,used_weeks,adp,advancing,player_name,position,sleeper_id,team,avg_used_weeks,advance_rate
8,2,209.4,0,Devin Duvernay,WR,6847,JAX,0.25,0.0
14,0,209.5,3,Ian Thomas,TE,4995,CAR,0.0,0.214
2342,2518,207.5,326,K.J. Osborn,WR,7066,NE,1.08,0.139
1,0,162.0,0,D.J. Williams,RB,11989,TB,0.0,0.0
14,0,208.3,3,Dillon Johnson,RB,11580,CAR,0.0,0.214
1,1,209.0,0,Luke Farrell,TE,7842,JAX,1.0,0.0
19612,9537,206.0,2772,Greg Dulcich,TE,8172,DEN,0.49,0.141
2,0,213.5,0,Malik Cunningham,QB,10860,BAL,0.0,0.0
55563,131210,164.3,10812,Quentin Johnston,WR,9754,LAC,2.36,0.195
55916,258055,160.0,13101,J.K. Dobbins,RB,6806,LAC,4.62,0.234
56056,224613,22.0,5944,De'Von Achane,RB,9226,MIA,4.01,0.106
690,535,206.7,99,Cordarrelle Patterson,RB,1535,PIT,0.78,0.143
1,0,208.0,0,Jake Haener,QB,10215,NO,0.0,0.0
28082,0,198.5,5261,Devontez Walker,WR,11629,BAL,0.0,0.187
30,0,205.9,5,Isaiah Williams,WR,11608,DET,0.0,0.167
161,0,205.4,16,Frank Gore,RB,11573,BUF,0.0,0.099
33002,133306,200.6,5542,Colby Parkinson,TE,6865,LAR,4.04,0.168
56056,224045,27.2,5892,DeVonta Smith,WR,7525,PHI,4.0,0.105
27,0,207.1,7,Xavier Weaver,WR,11921,ARI,0.0,0.259
56056,211120,83.6,8226,Rhamondre Stevenson,RB,7611,NE,3.77,0.147
27073,69640,203.4,5751,Darius Slayton,WR,6149,NYG,2.57,0.212
128,7,210.9,12,Drew Lock,QB,5854,NYG,0.05,0.094
56056,142114,73.2,7054,Christian Watson,WR,8167,GB,2.54,0.126
56056,96576,58.0,4505,Anthony Richardson,QB,9229,IND,1.72,0.08
1,0,212.0,0,Jabari Small,RB,12356,TEN,0.0,0.0
56056,210500,22.1,5313,Brandon Aiyuk,WR,6803,SF,3.76,0.095
56056,291672,2.1,7260,CeeDee Lamb,WR,6786,DAL,5.2,0.13
55692,198361,173.1,8734,Noah Fant,TE,5857,SEA,3.56,0.157
73,0,204.7,10,Justyn Ross,WR,8140,KC,0.0,0.137
56056,348223,73.4,19283,Alvin Kamara,RB,4035,NO,6.21,0.344
15790,0,202.6,2371,Odell Beckham Jr.,WR,2078,MIA,0.0,0.15
2,0,172.0,0,Marquise Goodwin,WR,1346,,0.0,0.0
1,0,208.0,0,Jimmy Graham,TE,616,,0.0,0.0
56056,69449,92.5,5406,Raheem Mostert,RB,2749,MIA,1.24,0.096
56056,252435,110.1,13950,Rashid Shaheed,WR,8676,NO,4.5,0.249
38,3,208.1,3,Ronnie Rivers,RB,8195,LAR,0.08,0.079
2,0,174.0,0,Marshawn Lynch,RB,745,,0.0,0.0
2,0,155.0,1,Andrew Luck,QB,1111,,0.0,0.5
436,0,205.8,63,Tyler Higbee,TE,3271,LAR,0.0,0.144
1885,474,207.8,252,Gerald Everett,TE,4089,CHI,0.25,0.134
1837,3597,207.6,288,Calvin Austin III,WR,8125,PIT,1.96,0.157
14,0,203.4,3,Terrace Marshall Jr.,WR,7565,LV,0.0,0.214
1,0,182.0,0,Tom Kennedy,WR,6588,DET,0.0,0.0
188,358,208.9,22,Darnell Washington,TE,9479,PIT,1.9,0.117
3435,0,205.4,527,Chase Claypool,WR,6886,,0.0,0.153
4,0,214.5,0,Cameron Latu,TE,10210,CLE,0.0,0.0
56025,188928,159.8,8455,Michael Wilson,WR,10232,ARI,3.37,0.151
22168,0,195.9,3348,Zay Jones,WR,4080,ARI,0.0,0.151
14,0,203.3,0,Kevin Harris,RB,8174,NE,0.0,0.0
